--- SHEET: Feuil1 ---
,,,PLANNING DES TRAITEMENTS DE FIN DE  MOIS   DE  FEVRIER      2026,,
,,,,,
,,,,,
Tâche,,DATE ,TRAITEMENTS ,RESPONSABLE ,Intervenant en support
1,Jeudi,2/26/26,Traitement des virements DOTI et reglements PPR Mensuel ,exploitation_centrale,
2,Vendredi,2/27/26,Preparation des pre requit pour la fin du mois ,exploitation_centrale,
3,Vendredi,2/27/26,Mise à jour des autorisations du personnel,exploitation_centrale,
4,Vendredi,2/27/26,Fermeture de l'ensemble des  Agences ,exploitation_centrale,Assistance agences + Réseaux et télécoms
5,Vendredi,2/27/26,Traitement GP  Fin de Mois (28/02/2026),exploitation_centrale,
6,Vendredi,2/27/26,Ouverture de la periode comptable et saisie des cours de devises,exploitation_centrale,
,,,WEEK-END ,,
7,Samedi,2/28/26,Traitement de la GM  apres la derniere GP quotidienne et suite des traitements mensuels ,exploitation_centrale,
8,Samedi,2/28/26,Traitements PACK et SB Mensuels,exploitation_centrale,
9,Samedi,2/28/26,Comptabilisation ECR/GM +IR/PR+DAT et Ext/Dat+PEL+PACK,exploitation_centrale,
10,Dimanche,3/1/26,Traitement Mensuel des fichiers Icne SOFAC ,exploitation_centrale,
11,Dimanche,3/1/26,Comptabilisation de la suite des cre mensuel en plus de la monetique,,
,Dimanche,3/1/26,Traitement Dernière EI Quotidien,,
12,Lundi,3/2/26,Traitement ICNE EVOLAN  Mensuel (après dernière quotidienne de EI),,
13,Mardi,3/3/26,Comptabilisation  ICNE EVOLAN  Mensuel,,
14,Mardi,3/3/26,Traitement de la Classification des créances apres le top Metier  ,exploitation_centrale,Moukaouil
15,Mardi,3/3/26,Comptabilisation des Ecritures Reclassement+Classif  ,exploitation_centrale,
16,Mercredi,3/4/26,Traitement de l'extrait dépôt  Fin de  mois ,exploitation_centrale,Radouane 
17,Mercredi,3/4/26,Traitements Preparatif du  tableau de bord mensuel    ,exploitation_centrale, 
17,Jeudi,3/5/26,"Traitements des Tableaux de Bord , etat chiffres d'affaires et suite des traitements mensuels,  ",exploitation_centrale, 
18,Jeudi,3/5/26,Chargement des données T.B au niveau du serveur QLIKVIEW,exploitation_centrale, 
19,Vendredi,3/6/26,Traitement de déclaration des Risques et envoi des fichiers à BAM,exploitation_centrale, 
,,,WEEK-END ,,
20,Samedi,3/21/25,Comptabilisation Extournes  Reclassement+classif +Icne Evolan ,exploitation_centrale, 
21,Samedi,3/21/25,Purge de l'historique des ecritures GL ,exploitation_centrale, 
,,,,,
,, ,,,

--- SHEET: Feuil2 ---


--- SHEET: Feuil3 ---


