ref,task_type,date,time,task_name,system_name,job_code,support_contact,depends_on
T1,MANUAL,26/02/2026,20:00,Traitement des virements DOTI et reglements PPR Mensuel,,,exploitation_centrale,
T2,MANUAL,27/02/2026,16:00,Preparation des pre requit pour la fin du mois,,,exploitation_centrale,T1
T3,MANUAL,27/02/2026,17:00,Mise à jour des autorisations du personnel,,,exploitation_centrale,T2
T4,MANUAL,27/02/2026,18:30,Fermeture de l'ensemble des Agences,,,exploitation_centrale,T3
T5,BATCH,27/02/2026,19:00,Traitement GP Fin de Mois (28/02/2026),GP,GP_FDM,exploitation_centrale,T4
T6,MANUAL,27/02/2026,21:00,Ouverture de la periode comptable et saisie des cours de devises,,,exploitation_centrale,T5
T7,BATCH,28/02/2026,08:00,Traitement de la GM apres la derniere GP quotidienne,GM,GM_DAILY,exploitation_centrale,T6
T8,BATCH,28/02/2026,10:00,Traitements PACK et SB Mensuels,PACK,PACK_MENS,exploitation_centrale,T7
T9,BATCH,28/02/2026,12:00,Comptabilisation ECR/GM +IR/PR+DAT et Ext/Dat+PEL+PACK,COMPTA,COMPTA_MENS,exploitation_centrale,T8
T10,BATCH,01/03/2026,08:00,Traitement Mensuel des fichiers Icne SOFAC,SOFAC,SOFAC_MENS,exploitation_centrale,T9
T11,BATCH,01/03/2026,10:00,Comptabilisation de la suite des cre mensuel en plus de la monetique,COMPTA,COMPTA_SUITE,,T10
T11B,BATCH,01/03/2026,12:00,Traitement Dernière EI Quotidien,EI,EI_QUOTID,,T11
T12,BATCH,02/03/2026,08:00,Traitement ICNE EVOLAN Mensuel,EVOLAN,ICNE_MENS,,T11B
T13,BATCH,03/03/2026,08:00,Comptabilisation ICNE EVOLAN Mensuel,COMPTA,ICNE_COMPTA,,T12
T14,BATCH,03/03/2026,10:00,Traitement de la Classification des créances apres le top Metier,CLASSIF,CLASSIF_CREANCES,exploitation_centrale,T13
T15,BATCH,03/03/2026,12:00,Comptabilisation des Ecritures Reclassement+Classif,COMPTA,RECLASS_COMPTA,exploitation_centrale,T14
T16,BATCH,04/03/2026,08:00,Traitement de l'extrait dépôt Fin de mois,DEPOT,DEPOT_FDM,exploitation_centrale,T15
T17,BATCH,04/03/2026,10:00,Traitements Preparatif du tableau de bord mensuel,TB,TB_PREP,exploitation_centrale,T16
T17B,BATCH,05/03/2026,08:00,"Traitements des Tableaux de Bord, etat chiffres d'affaires",TB,TB_CA,exploitation_centrale,T17
T18,BATCH,05/03/2026,10:00,Chargement des données T.B au niveau du serveur QLIKVIEW,QLIK,QLIK_CHARGE,exploitation_centrale,T17B
T19,BATCH,06/03/2026,08:00,Traitement de déclaration des Risques et envoi des fichiers à BAM,RISQUES,BAM_DECLAR,exploitation_centrale,T18
T20,BATCH,21/03/2026,08:00,Comptabilisation Extournes Reclassement+classif +Icne Evolan,COMPTA,EXTOURNES,exploitation_centrale,T19
T21,BATCH,21/03/2026,10:00,Purge de l'historique des ecritures GL,GL,PURGE_GL,exploitation_centrale,T20
